prediction;test_price
1363.22;1371.09
1359.99;1395.95
1358.16;1394.28
1349.63;1402.6
1358.1;1404.17
1365.12;1409.75
1382.6;1405.52
1400.56;1402.89
1402.42;1392.78
1382.12;1397.11
1381.13;1416.51
1380.88;1412.52
1395.87;1405.54
1405.96;1403.28
1411.07;1408.47
1412.21;1419.04
1410.87;1413.38
1419.19;1398.96
1417.9;1398.08
1403.22;1382.2
1394.59;1358.59
1396.84;1368.71
1405.5;1387.57
1402.44;1370.26
1399.02;1369.57
1396.01;1390.78
1393.01;1385.14
1382.24;1376.92
1374.26;1378.53
1382.82;1366.94
1376.64;1371.97
1367.15;1390.69
1361.61;1399.98
1367.61;1403.36
1375.28;1397.91
1382.43;1405.82
1396.96;1402.31
1403.88;1391.57
1395.89;1369.1
1390.07;1369.58
1378.88;1363.72
1364.62;1354.58
1365.0;1357.99
1364.88;1353.39
1362.02;1338.35
1376.88;1330.66
1365.01;1324.8
1354.81;1304.86
1347.85;1295.22
1350.23;1315.99
1344.73;1316.63
1345.6;1318.86
1336.89;1320.68
1335.71;1317.82
1339.62;1332.42
1333.3;1313.32
1329.54;1310.33
1328.2;1278.04
1342.07;1278.18
1330.92;1285.5
1326.41;1315.13
1318.95;1314.99
1315.26;1325.66
1302.08;1308.93
1313.32;1324.18
1312.89;1314.88
1318.8;1329.1
1315.44;1342.84
1318.24;1344.78
1324.04;1357.98
1320.97;1355.69
1316.6;1325.51
1324.43;1335.02
1322.31;1313.72
1316.92;1319.99
1334.98;1331.85
1343.27;1329.04
1328.2;1362.16
1332.22;1365.51
1332.92;1374.02
1334.38;1367.58
1333.1;1354.68
1349.74;1352.46
1345.12;1341.47
1352.68;1341.45
1346.6;1334.76
1350.65;1356.78
1343.0;1353.64
1355.41;1363.67
1355.03;1372.78
1362.74;1376.51
1366.0;1362.66
1365.32;1350.52
1375.24;1338.31
1360.83;1337.89
1360.83;1360.02
1364.81;1385.97
1369.04;1385.3
1383.24;1379.32
1376.59;1375.32
1372.71;1365.0
1371.39;1390.99
1372.11;1394.23
1369.35;1401.35
1384.74;1402.22
1391.73;1402.8
1383.45;1405.87
1379.45;1404.11
1397.19;1403.93
1399.74;1405.53
1399.9;1415.51
1411.52;1418.16
1415.01;1418.13
1425.02;1413.17
1409.91;1413.49
1403.83;1402.08
1404.61;1411.13
1400.55;1410.44
1400.08;1409.3
1414.18;1410.49
1416.18;1399.48
1418.72;1406.58
1417.27;1404.94
1413.63;1403.44
1401.22;1432.12
1410.22;1437.92
1417.97;1429.08
1415.66;1433.56
1428.59;1436.56
1430.37;1459.99
1441.19;1465.77
1449.16;1461.19
1450.66;1459.32
1449.15;1461.05
1450.16;1460.26
1454.47;1460.15
1464.65;1456.89
1462.95;1441.59
1458.13;1433.32
1454.42;1447.15
1447.78;1440.67
1450.95;1444.49
1447.07;1445.75
1456.86;1450.99
1448.44;1461.4
1451.7;1460.93
1457.0;1455.88
1457.53;1441.48
1459.26;1432.56
1447.76;1432.84
1446.32;1428.59
1458.05;1440.13
1460.89;1454.92
1446.71;1460.91
1451.93;1457.34
1451.0;1433.19
1451.06;1433.82
1446.94;1413.11
1450.55;1408.75
1447.19;1412.97
1441.22;1411.94
1432.53;1412.16
1425.9;1427.59
1427.13;1414.2
1423.25;1417.26
1436.35;1428.39
1434.96;1394.53
1441.76;1377.51
1427.37;1379.85
1419.84;1380.03
1415.31;1374.53
1416.24;1355.49
1414.2;1353.33
